ROAD_CLASS,DISTRICT,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,NEIGHBOURHOOD_158,YEAR,MONTH_sin,MONTH_cos,DOW_sin,DOW_cos,HOUR_sin,HOUR_cos,INVAGE_00to04,INVAGE_05to09,INVAGE_10to14,INVAGE_15to19,INVAGE_20to24,INVAGE_25to29,INVAGE_30to34,INVAGE_35to39,INVAGE_40to44,INVAGE_45to49,INVAGE_50to54,INVAGE_55to59,INVAGE_60to64,INVAGE_65to69,INVAGE_70to74,INVAGE_75to79,INVAGE_80to84,INVAGE_85to89,INVAGE_90to94,INVAGE_Over95,INVAGE_unknown,NUMPERSONS,MANOEUVER_ChangingLanes,MANOEUVER_GoingAhead,MANOEUVER_MakingUTurn,MANOEUVER_Merging,MANOEUVER_Other,MANOEUVER_Overtaking,MANOEUVER_Parked,MANOEUVER_PullingAwayfromShoulderorCurb,MANOEUVER_PullingOntoShoulderortowardCurb,MANOEUVER_Reversing,MANOEUVER_SlowingorStopping,MANOEUVER_Stopped,MANOEUVER_TurningLeft,MANOEUVER_TurningRight,MANOEUVER_Unknown,DRIVACT_DisobeyedTrafficControl,DRIVACT_DrivingProperly,DRIVACT_ExceedingSpeedLimit,DRIVACT_FailedtoYieldRightofWay,DRIVACT_FollowingtooClose,DRIVACT_ImproperLaneChange,DRIVACT_ImproperPassing,DRIVACT_ImproperTurn,DRIVACT_Lostcontrol,DRIVACT_Other,DRIVACT_SpeedtooFastForCondition,DRIVACT_SpeedtooSlow,DRIVACT_WrongWayonOneWayRoad,NEAREST_HOSPITAL,DIST_TO_HOS
Collector,Scarborough,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,East L'Amoreaux,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Birchmount,451.0188030365389
Major Arterial,Toronto and East York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,False,False,True,True,False,False,False,False,False,True,True,False,False,Moss Park,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Michael's,866.9922821918735
Minor Arterial,Scarborough,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,True,False,False,False,False,False,Clairlea-Birchmount,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Michael Garron Hospital,6572.121657748241
Local,Scarborough,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,False,True,True,False,False,False,False,False,False,False,False,False,False,Birchcliffe-Cliffside,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Michael Garron Hospital,4714.51650874014
Local,Etobicoke York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Kingsview Village-The Westway,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,0.7071067811865476,-0.7071067811865475,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,William Osler Health System - Etobicoke,7714.483938272693
Major Arterial,Toronto and East York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,High Park North,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,5,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Joseph's,2129.103610109072
Minor Arterial,Toronto and East York,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,False,False,True,False,False,False,False,False,False,True,False,False,False,Wellington Place,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,University Health Network - Toronto General,2104.4140570671298
Minor Arterial,Scarborough,No Control,Rain,Daylight,Wet,Non-Fatal Injury,SMV Other,False,False,True,False,False,False,False,False,True,True,False,False,False,Morningside Heights,2010,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Scarborough Health Network - Centenary,3271.524543036823
Minor Arterial,North York,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,Yonge-Doris,2010,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,4090.2287105837604
Major Arterial,Etobicoke York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,True,False,False,Thistletown-Beaumond Heights,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,William Osler Health System - Etobicoke,2954.311584084062
Major Arterial,Scarborough,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,False,False,False,True,False,False,False,True,False,False,False,Tam O'Shanter-Sullivan,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Birchmount,3591.770496549667
Major Arterial,North York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,False,False,True,True,False,False,False,False,False,True,False,False,False,Oakdale-Beverley Heights,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Humber River Health - Wilson,957.8816561808344
Major Arterial,Toronto and East York,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,False,False,True,False,False,False,False,True,False,True,False,False,False,Rosedale-Moore Park,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,University Health Network - Toronto General,3548.292440713034
Major Arterial,Etobicoke York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,False,False,True,False,True,False,False,False,True,True,False,False,False,West Humber-Clairville,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,William Osler Health System - Etobicoke,3287.3743382784305
Major Arterial,North York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Don Valley Village,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,3550.779289404745
Major Arterial,Scarborough,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Birchcliffe-Cliffside,2010,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Michael Garron Hospital,4805.449657754507
Major Arterial,North York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,False,False,True,False,False,False,False,False,True,True,False,False,False,Lansing-Westgate,2010,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,5011.047510589939
Major Arterial,Scarborough,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,False,False,True,True,False,False,False,False,False,True,False,True,False,Birchcliffe-Cliffside,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Scarborough Health Network - Scarborough General,5282.558956755558
Minor Arterial,Toronto and East York,No Control,Rain,Dark,Wet,Non-Fatal Injury,Sideswipe,False,False,True,False,True,False,False,False,False,True,False,False,False,Junction-Wallace Emerson,2010,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Unity Health Toronto - St. Joseph's,3037.446277110488
Major Arterial,North York,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,York University Heights,2010,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Humber River Health - Wilson,7971.610043817433
Major Arterial,Toronto and East York,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Approaching,False,False,True,False,False,False,False,False,True,True,False,False,False,Cabbagetown-South St.James Town,2010,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Unity Health Toronto - St. Michael's,3003.6975471829064
Minor Arterial,Toronto and East York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,False,False,True,True,False,False,False,False,False,False,False,False,False,Downtown Yonge East,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,University Health Network - Toronto General,788.1259429235943
Major Arterial,North York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Wexford/Maryvale,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,0.7071067811865476,-0.7071067811865475,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Scarborough General,5755.007456747699
Minor Arterial,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,False,True,True,False,False,False,False,False,False,False,False,False,False,The Beaches,2010,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Michael Garron Hospital,4173.979108742555
Major Arterial,Scarborough,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Ionview,2010,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Scarborough General,5121.702556754346
Major Arterial,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Rosedale-Moore Park,2010,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,University Health Network - Toronto General,2246.467142930953
Major Arterial,Etobicoke York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,West Humber-Clairville,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,William Osler Health System - Etobicoke,6830.639538271236
Minor Arterial,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,True,True,False,True,False,Kensington-Chinatown,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,University Health Network - Toronto General,981.8256570721278
Major Arterial,North York,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,Newtonbrook East,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,7193.175555153401
Major Arterial,Etobicoke York,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Kingsview Village-The Westway,2010,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.25881904510252157,0.9659258262890681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,William Osler Health System - Etobicoke,7439.338038266287
Major Arterial,Etobicoke York,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Turning Movement,False,False,True,False,False,False,False,False,False,True,True,False,False,York University Heights,2010,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Humber River Health - Wilson,4938.75182453345
Minor Arterial,Toronto and East York,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,Regent Park,2010,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Michael's,1743.8235471799271
Major Arterial,North York,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,False,False,True,False,False,False,False,False,False,True,False,False,False,Bayview Village,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,1739.1550105925417
Major Arterial,Scarborough,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,False,False,True,False,False,False,False,True,False,False,False,False,False,Tam O'Shanter-Sullivan,2010,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Scarborough Health Network - Birchmount,3124.7161965520354
Major Arterial,North York,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Turning Movement,False,False,True,True,False,False,False,False,False,True,True,False,False,Hillcrest Village,2010,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,North York General Hospital - General Site,4815.799989407649
Major Arterial,Etobicoke York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,Markland Wood,2010,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Trillium Health Partners- Mississauga,9879.367685558624
Minor Arterial,Toronto and East York,No Control,Clear,Dusk,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,South Riverdale,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Michael Garron Hospital,3305.523242248688
Major Arterial,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,False,False,False,True,False,False,False,False,False,False,False,False,False,Moss Park,2010,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Unity Health Toronto - St. Michael's,793.2233471754007
Major Arterial,Scarborough,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Bendale South,2010,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Scarborough Health Network - Scarborough General,254.4590432451805
Minor Arterial,Etobicoke York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,True,False,False,False,Mimico-Queensway,2010,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Joseph's,6377.5652228890685
Major Arterial,Toronto and East York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,False,False,True,False,False,False,False,True,False,False,False,False,True,Casa Loma,2010,-0.8660254037844386,0.5000000000000001,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,7,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,University Health Network - Toronto Western,4095.545902968035
Major Arterial,Scarborough,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,False,False,Steeles,2010,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Scarborough Health Network - Birchmount,2686.4717034504283
Major Arterial,North York,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,True,False,True,False,False,False,Lawrence Park South,2010,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.7071067811865476,-0.7071067811865475,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Sunnybrook Health Sciences Centre - Bayview Campus,1927.363569919602
Minor Arterial,Scarborough,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,False,False,True,False,False,False,False,False,False,False,False,False,False,Kennedy Park,2010,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.258819045102521,-0.9659258262890682,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Scarborough Health Network - Scarborough General,3248.919956761296
Collector,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,True,True,False,False,False,Kensington-Chinatown,2010,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,University Health Network - Toronto Western,636.9110029675066
Minor Arterial,Toronto and East York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Other,False,False,True,False,False,False,False,False,False,False,False,False,False,South Parkdale,2010,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.9659258262890683,0.25881904510252074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Unity Health Toronto - St. Joseph's,1653.395689887111
Major Arterial,Etobicoke York,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,True,False,True,False,False,False,False,False,False,False,False,True,False,Thistletown-Beaumond Heights,2010,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,William Osler Health System - Etobicoke,2615.778784090304
Local,Toronto and East York,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,False,False,False,True,False,False,False,False,True,True,False,False,False,St Lawrence-East Bayfront-The Islands,2010,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Unity Health Toronto - St. Michael's,2574.9089821852976
Major Arterial,Scarborough,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,False,False,True,True,False,False,False,False,False,False,False,False,False,Scarborough Village,2010,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Scarborough Health Network - Scarborough General,4283.306481322041
